# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 30 16:44:53 2018
#
# CONSTRAINT:  where (koi_disposition like '%c%'
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio Upper Unc.
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [AU]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,ra,dec,koi_kepmag
13,6922244,K00010.01,CONFIRMED,CANDIDATE,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,3.19843,0.00653,-0.00653,9.1457e+03,6.600e+00,-6.600e+00,0.092086,1.410000e-04,-1.770000e-04,14.59,1.110e+00,-1.110e+00,0.0473,,,1521.0,,,7.541000,0.171000,-0.171000,6225.00,112.00,-137.00,281.288120,42.451080,13.563
14,10984090,K00112.02,CONFIRMED,CANDIDATE,3.709214104,6.5360000e-06,-6.5360000e-06,133.9831800,1.430000e-03,-1.430000e-03,2.63020,0.04270,-0.04270,1.3110e+02,3.000e+00,-3.000e+00,0.010424,3.180000e-04,-1.470000e-04,1.16,1.700e-01,-1.200e-01,0.0465,,,1206.0,,,10.888000,0.398000,-0.398000,5833.00,105.00,-117.00,295.648710,48.495560,12.772
19,10526549,K00746.01,CONFIRMED,CANDIDATE,9.273581730,1.0370000e-05,-1.0370000e-05,173.2581550,8.770000e-04,-8.770000e-04,3.28750,0.03090,-0.03090,1.2883e+03,1.680e+01,-1.680e+01,0.032563,3.061000e-03,-6.300000e-04,2.47,2.000e-01,-2.400e-01,0.0759,,,649.0,,,20.650000,5.600000,-5.600000,4856.00,131.00,-146.00,288.138240,47.724449,15.302
20,10583066,K00747.01,CONFIRMED,CANDIDATE,6.029303290,5.5090000e-06,-5.5090000e-06,171.6029590,7.130000e-04,-7.130000e-04,1.58210,0.03110,-0.03110,1.9127e+03,3.440e+01,-3.440e+01,0.038838,1.021000e-03,-1.203000e-03,2.85,2.600e-01,-1.500e-01,0.0585,,,678.0,,,29.310000,4.100000,-4.100000,4537.00,123.00,-123.00,283.710880,47.863270,15.784
22,10601284,K00749.01,CONFIRMED,CANDIDATE,5.349553819,8.8340000e-06,-8.8340000e-06,171.8069400,1.270000e-03,-1.270000e-03,3.02780,0.04710,-0.04710,8.3100e+02,1.480e+01,-1.480e+01,0.025706,8.450000e-04,-4.530000e-04,2.55,1.600e-01,-2.400e-01,0.0563,,,919.0,,,13.801500,0.049600,-0.049600,5185.00,85.00,-77.00,292.376130,47.880989,15.416
23,10601284,K00749.02,CONFIRMED,CANDIDATE,3.941052210,1.0940000e-05,-1.0940000e-05,136.0866200,2.330000e-03,-2.330000e-03,2.59840,0.07370,-0.07370,3.6330e+02,1.390e+01,-1.390e+01,0.017105,7.030000e-04,-5.570000e-04,1.70,1.100e-01,-1.600e-01,0.0460,,,1018.0,,,11.510000,2.400000,-2.400000,5185.00,85.00,-77.00,292.376130,47.880989,15.416
24,10601284,K00749.03,CONFIRMED,CANDIDATE,8.109048070,6.7870000e-05,-6.7870000e-05,132.8031000,7.160000e-03,-7.160000e-03,3.59600,0.19800,-0.19800,2.1740e+02,1.680e+01,-1.680e+01,0.013127,8.700000e-04,-5.030000e-04,1.30,9.000e-02,-1.200e-01,0.0743,,,800.0,,,17.460000,2.700000,-2.700000,5185.00,85.00,-77.00,292.376130,47.880989,15.416
26,10662202,K00750.01,CONFIRMED,CANDIDATE,21.676991930,7.0100000e-05,-7.0100000e-05,171.5359400,2.580000e-03,-2.580000e-03,3.45550,0.06560,-0.06560,8.5720e+02,2.710e+01,-2.710e+01,0.032666,2.100000e-05,-5.743000e-03,2.95,1.200e-01,-2.300e-01,0.1408,,,530.0,,,24.600000,11.600000,-11.600000,4954.00,79.00,-79.00,290.465120,47.929180,15.377
27,10682541,K00751.01,CONFIRMED,CANDIDATE,4.996779680,1.3890000e-05,-1.3890000e-05,171.7420800,2.190000e-03,-2.190000e-03,2.17170,0.07620,-0.07620,9.3470e+02,3.970e+01,-3.970e+01,0.030014,4.603000e-03,-2.436000e-03,2.78,5.200e-01,-2.300e-01,0.0559,,,917.0,,,13.140000,5.100000,-5.100000,5339.00,175.00,-159.00,297.808260,47.946671,15.861
28,11460018,K00769.01,CONFIRMED,CANDIDATE,4.280963604,6.1410000e-06,-6.1410000e-06,171.8965900,1.150000e-03,-1.150000e-03,2.87500,0.04200,-0.04200,7.5080e+02,1.410e+01,-1.410e+01,0.025377,1.410000e-04,-9.350000e-04,2.30,5.800e-01,-1.900e-01,0.0503,,,1012.0,,,10.640000,3.900000,-3.900000,5644.00,152.00,-169.00,294.265810,49.314091,15.356
32,11507101,K00773.01,CONFIRMED,CANDIDATE,38.377548600,1.6020000e-04,-1.6020000e-04,172.8204800,3.380000e-03,-3.380000e-03,5.58800,0.11300,-0.11300,7.2420e+02,2.340e+01,-2.340e+01,0.024901,1.840000e-04,-1.271000e-03,2.82,3.700e-01,-3.400e-01,0.2163,,,529.0,,,47.800000,22.500000,-22.500000,5481.00,82.00,-74.00,291.722020,49.480869,15.172
33,10910878,K00757.02,CONFIRMED,CANDIDATE,41.197255020,9.3450000e-05,-9.3450000e-05,165.0040400,1.710000e-03,-1.710000e-03,4.62970,0.06330,-0.06330,2.2139e+03,4.550e+01,-4.550e+01,0.041693,1.180000e-03,-6.130000e-04,3.86,1.500e-01,-3.300e-01,0.2170,,,439.0,,,70.750000,2.100000,-2.100000,5031.00,75.00,-83.00,286.999480,48.375790,15.841
34,10910878,K00757.03,CONFIRMED,CANDIDATE,6.252962249,9.5770000e-06,-9.5770000e-06,171.3012600,1.170000e-03,-1.170000e-03,2.58190,0.04260,-0.04260,1.0369e+03,2.450e+01,-2.450e+01,0.028604,1.027000e-03,-4.840000e-04,2.65,1.000e-01,-2.300e-01,0.0617,,,823.0,,,18.940000,0.842000,-0.842000,5031.00,75.00,-83.00,286.999480,48.375790,15.841
35,10987985,K00758.01,CONFIRMED,CANDIDATE,16.013084190,4.8540000e-05,-4.8540000e-05,176.3608000,2.430000e-03,-2.430000e-03,3.25540,0.07910,-0.07910,1.1219e+03,3.940e+01,-3.940e+01,0.034369,3.169000e-03,-4.367000e-03,3.10,3.400e-01,-3.100e-01,0.1148,,,593.0,,,24.700000,11.800000,-11.800000,5015.00,164.00,-149.00,297.025630,48.478588,15.390
36,11018648,K00759.01,CONFIRMED,CANDIDATE,32.628766720,5.8010000e-05,-5.8010000e-05,194.1019000,1.380000e-03,-1.380000e-03,4.79710,0.05800,-0.05800,1.8048e+03,2.540e+01,-2.540e+01,0.038520,9.710000e-04,-3.650000e-04,3.36,7.600e-01,-3.300e-01,0.1889,,,506.0,,,53.950000,1.500000,-1.500000,5586.00,152.00,-152.00,285.718540,48.505859,15.082
37,11018648,K00759.02,CONFIRMED,CANDIDATE,91.773286200,7.5180000e-04,-7.5180000e-04,193.8378000,6.430000e-03,-6.430000e-03,6.47300,0.20400,-0.20400,6.5200e+02,3.620e+01,-3.620e+01,0.024320,7.051000e-03,-1.216000e-03,2.12,4.800e-01,-2.100e-01,0.3764,,,359.0,,,89.400000,37.800000,-37.800000,5586.00,152.00,-152.00,285.718540,48.505859,15.082
38,11138155,K00760.01,CANDIDATE,CANDIDATE,4.959319244,5.1500000e-07,-5.1500000e-07,172.2585292,8.270000e-05,-8.270000e-05,2.22739,0.00750,-0.00750,9.8020e+03,2.000e+01,-2.000e+01,0.103379,1.245000e-03,-7.400000e-05,12.21,1.960e+00,-1.460e+00,0.0565,,,1103.0,,,12.386000,0.466000,-0.466000,5712.00,77.00,-77.00,292.167050,48.727589,15.263
40,11153539,K00762.01,CONFIRMED,CANDIDATE,4.498765110,1.7770000e-05,-1.7770000e-05,171.3490500,3.000000e-03,-3.000000e-03,3.73620,0.09340,-0.09340,4.6000e+02,1.750e+01,-1.750e+01,0.019817,4.580000e-04,-7.890000e-04,2.10,6.500e-01,-2.200e-01,0.0542,,,1133.0,,,8.950000,1.900000,-1.900000,6075.00,189.00,-210.00,298.456850,48.791592,15.395
42,9579641,K00115.01,CONFIRMED,CANDIDATE,5.412203927,3.0520000e-06,-3.0520000e-06,133.1430890,4.680000e-04,-4.680000e-04,2.94720,0.02400,-0.02400,6.0160e+02,4.000e+00,-4.000e+00,0.024775,6.000000e-05,-1.886000e-03,2.94,4.300e-01,-3.800e-01,0.0591,,,1093.0,,,9.250000,4.500000,-4.500000,5779.00,104.00,-115.00,287.887330,46.276241,12.791
43,11304958,K00764.01,CONFIRMED,CANDIDATE,41.439586620,7.5570000e-05,-7.5570000e-05,208.9320300,1.420000e-03,-1.420000e-03,10.59890,0.08800,-0.08800,2.7931e+03,2.260e+01,-2.260e+01,0.048175,2.840000e-04,-1.083000e-03,5.50,1.570e+00,-9.600e-01,0.2288,,,516.0,,,29.470000,6.400000,-6.400000,5468.00,180.00,-164.00,295.555050,49.017342,15.400
44,11391957,K00765.01,CONFIRMED,CANDIDATE,8.353895230,1.5240000e-05,-1.5240000e-05,171.6325700,1.330000e-03,-1.330000e-03,2.25140,0.05180,-0.05180,1.0416e+03,2.820e+01,-2.820e+01,0.029305,9.550000e-04,-5.320000e-04,2.52,5.400e-01,-2.400e-01,0.0768,,,790.0,,,29.180000,1.700000,-1.700000,5592.00,152.00,-152.00,285.499240,49.277351,15.317
45,11403044,K00766.01,CONFIRMED,CANDIDATE,4.125543472,3.1330000e-06,-3.1330000e-06,169.7525850,6.130000e-04,-6.130000e-04,3.17440,0.03620,-0.03620,1.4873e+03,1.330e+01,-1.330e+01,0.036796,2.630000e-03,-1.282000e-03,4.43,1.440e+00,-5.100e-01,0.0529,,,1243.0,,,8.450000,2.700000,-2.700000,6174.00,173.00,-239.00,291.936160,49.253979,15.506
46,11414511,K00767.01,CONFIRMED,CANDIDATE,2.816504904,1.6500000e-07,-1.6500000e-07,170.9676846,4.660000e-05,-4.660000e-05,2.50587,0.00666,-0.00666,1.6814e+04,1.100e+01,-1.100e+01,0.117059,1.834000e-03,-2.970000e-04,12.21,1.620e+00,-8.700e-01,0.0383,,,1219.0,,,9.571000,0.595000,-0.595000,5532.00,74.00,-83.00,297.015470,49.225288,15.052
48,12110942,K00786.01,CONFIRMED,CANDIDATE,3.689920099,8.9820000e-06,-8.9820000e-06,170.3657100,1.910000e-03,-1.910000e-03,2.65570,0.06770,-0.06770,4.2670e+02,1.380e+01,-1.380e+01,0.018878,6.710000e-04,-3.700000e-04,1.89,5.400e-01,-2.000e-01,0.0469,,,1147.0,,,10.710000,1.200000,-1.200000,5880.00,157.00,-192.00,291.622410,50.618240,15.242
49,12366084,K00787.01,CONFIRMED,CANDIDATE,4.431238488,6.1060000e-06,-6.1060000e-06,171.0150000,1.110000e-03,-1.110000e-03,3.15000,0.04230,-0.04230,1.0109e+03,1.520e+01,-1.520e+01,0.029330,2.280000e-04,-8.890000e-04,3.25,4.700e-01,-2.500e-01,0.0529,,,1104.0,,,10.190000,3.700000,-3.700000,5714.00,77.00,-77.00,295.816160,51.121738,15.367
50,12366084,K00787.02,CONFIRMED,CANDIDATE,11.379369860,2.4150000e-05,-2.4150000e-05,133.8499200,1.830000e-03,-1.830000e-03,2.62550,0.07300,-0.07300,1.0235e+03,2.970e+01,-2.970e+01,0.035628,1.010000e-04,-6.092000e-03,3.95,5.700e-01,-3.100e-01,0.0993,,,806.0,,,16.310000,8.100000,-8.100000,5714.00,77.00,-77.00,295.816160,51.121738,15.367
51,12404086,K00788.01,CONFIRMED,CANDIDATE,26.394328970,5.7240000e-05,-5.7240000e-05,176.0545900,1.760000e-03,-1.760000e-03,3.57300,0.06430,-0.06430,1.5109e+03,3.630e+01,-3.630e+01,0.036810,4.201000e-03,-1.900000e-03,3.07,4.100e-01,-2.200e-01,0.1635,,,489.0,,,47.700000,20.700000,-20.700000,5129.00,154.00,-154.00,289.399720,51.250320,15.234
52,8395660,K00116.01,CONFIRMED,CANDIDATE,13.570782810,1.5850000e-05,-1.5850000e-05,136.2791940,9.570000e-04,-9.570000e-04,3.35390,0.04890,-0.04890,5.1170e+02,6.300e+00,-6.300e+00,0.023908,4.130000e-04,-2.627000e-03,2.64,4.000e-01,-2.700e-01,0.1096,,,785.0,,,16.930000,7.900000,-7.900000,5854.00,105.00,-117.00,300.863980,44.337551,12.882
53,9579641,K00115.02,CONFIRMED,CANDIDATE,7.125943870,1.4060000e-05,-1.4060000e-05,139.0049200,1.590000e-03,-1.590000e-03,3.00140,0.03840,-0.03840,1.9240e+02,4.400e+00,-4.400e+00,0.015120,3.230000e-04,-2.193000e-03,1.79,2.600e-01,-2.300e-01,0.0711,,,997.0,,,8.620000,4.200000,-4.200000,5779.00,104.00,-115.00,287.887330,46.276241,12.791
55,11754553,K00775.01,CONFIRMED,CANDIDATE,16.384899880,5.2190000e-05,-5.2190000e-05,172.7278200,2.480000e-03,-2.480000e-03,3.02490,0.07980,-0.07980,1.1271e+03,4.200e+01,-4.200e+01,0.029758,1.300000e-03,-6.260000e-04,2.00,9.000e-02,-1.000e-01,0.1084,,,433.0,,,42.620000,2.500000,-2.500000,4126.00,82.00,-82.00,286.738040,49.975750,15.095
56,11754553,K00775.02,CONFIRMED,CANDIDATE,7.877416300,1.4930000e-05,-1.4930000e-05,176.3759000,1.470000e-03,-1.470000e-03,2.08050,0.05170,-0.05170,1.3061e+03,3.770e+01,-3.770e+01,0.032090,1.268000e-03,-6.230000e-04,2.16,9.000e-02,-1.100e-01,0.0665,,,553.0,,,29.840000,1.100000,-1.100000,4126.00,82.00,-82.00,286.738040,49.975750,15.095
57,11754553,K00775.03,CONFIRMED,CANDIDATE,36.445400100,1.8090000e-04,-1.8090000e-04,151.6012500,3.920000e-03,-3.920000e-03,4.00700,0.12600,-0.12600,1.1223e+03,5.340e+01,-5.340e+01,0.029681,1.410000e-03,-1.094000e-03,1.99,9.000e-02,-9.000e-02,0.1847,,,332.0,,,71.530000,2.900000,-2.900000,4126.00,82.00,-82.00,286.738040,49.975750,15.095
58,11812062,K00776.01,CONFIRMED,CANDIDATE,3.728732147,9.3600000e-07,-9.3600000e-07,171.7932550,1.950000e-04,-1.950000e-04,2.68300,0.03500,-0.03500,5.2265e+03,1.850e+01,-1.850e+01,0.068178,2.209000e-03,-1.842000e-03,6.02,1.220e+00,-5.200e-01,0.0455,,,1023.0,,,9.700000,3.100000,-3.100000,5497.00,166.00,-149.00,290.785740,50.054119,15.523
59,11818800,K00777.01,CANDIDATE,CANDIDATE,40.419503700,1.1390000e-04,-1.1390000e-04,173.5646900,2.220000e-03,-2.220000e-03,3.36200,0.14000,-0.14000,6.2560e+03,2.300e+02,-2.300e+02,0.088069,5.461791e+00,-1.363600e-02,7.51,1.120e+00,-9.100e-01,0.2062,,,467.0,,,54.700000,24.100000,-24.100000,5446.00,179.00,-163.00,294.316860,50.080231,15.487
60,11853255,K00778.01,CONFIRMED,CANDIDATE,2.243380573,2.6700000e-06,-2.6700000e-06,170.6792330,9.000000e-04,-9.000000e-04,1.11960,0.03840,-0.03840,8.2170e+02,2.560e+01,-2.560e+01,0.032248,4.630000e-04,-5.356000e-03,1.99,1.000e-01,-1.200e-01,0.0280,,,822.0,,,7.380000,3.600000,-3.600000,4149.00,82.00,-91.00,285.176210,50.149818,15.135
62,11918099,K00780.01,CONFIRMED,CANDIDATE,2.337437946,1.9510000e-06,-1.9510000e-06,171.7619820,6.590000e-04,-6.590000e-04,1.99820,0.02710,-0.02710,9.7120e+02,1.370e+01,-1.370e+01,0.027998,7.200000e-04,-6.650000e-04,2.34,1.700e-01,-9.000e-02,0.0325,,,1070.0,,,8.860000,1.300000,-1.300000,5005.00,79.00,-79.00,293.833310,50.230350,15.334
63,11918099,K00780.02,CANDIDATE,CANDIDATE,7.240661200,1.6170000e-05,-1.6170000e-05,137.7554500,2.000000e-03,-2.000000e-03,0.55800,0.17100,-0.17100,5.5640e+02,4.410e+01,-4.410e+01,0.232818,4.998311e+01,-2.036050e-01,19.45,1.400e+00,-7.100e-01,0.0692,,,734.0,,,28.800000,14.400000,-14.400000,5005.00,79.00,-79.00,293.833310,50.230350,15.334
64,9579641,K00115.03,CANDIDATE,CANDIDATE,3.435916310,4.7290000e-05,-4.7290000e-05,132.6624000,1.100000e-02,-1.100000e-02,3.13300,0.40700,-0.40700,2.3200e+01,3.400e+00,-3.400e+00,0.004612,1.970000e-04,-5.650000e-04,0.55,8.000e-02,-7.000e-02,0.0437,,,1272.0,,,6.650000,3.000000,-3.000000,5779.00,104.00,-115.00,287.887330,46.276241,12.791
65,11923270,K00781.01,CONFIRMED,CANDIDATE,11.598222330,1.4070000e-05,-1.4070000e-05,180.3953760,9.230000e-04,-9.230000e-04,2.52370,0.05200,-0.05200,2.8045e+03,4.630e+01,-4.630e+01,0.051287,5.219000e-03,-3.254000e-03,2.65,2.100e-01,-2.900e-01,0.0798,,,396.0,,,28.200000,11.800000,-11.800000,3688.00,73.00,-91.00,296.221950,50.287220,15.937
66,11960862,K00782.01,CONFIRMED,CANDIDATE,6.575315881,3.7260000e-06,-3.7260000e-06,173.6340440,4.550000e-04,-4.550000e-04,4.30840,0.03060,-0.03060,2.7933e+03,1.490e+01,-1.490e+01,0.049152,1.988000e-03,-5.990000e-04,5.31,1.500e+00,-8.100e-01,0.0670,,,1015.0,,,11.370000,3.000000,-3.000000,5992.00,162.00,-180.00,290.098050,50.321609,15.312
